doc_id,text_clean,Sentiment,label_encoded
219,lembaga kelola dana didik lpdp angin segar terima beasiswa alumni lpdp milik fleksibilitas panjang tinggal negeri selesai studi direktur utama lpdp sudarto terima beasiswa merta indonesia lulus sempat panjang tinggal jangka manfaat magang kaya alam profesional negeri sudarto acara scholarship talks sabtu februari also read lpdp buka daftar beasiswa doktor kanker university of glasgow panjang tinggal rencana matang izin resmi lpdp alumni wajib lapor rencana oleh tuju lanjut tinggal negeri sudarto bijak tuju bangun sirkulasi talenta brain circulation diaspora indonesia terima beasiswa libat magang proyek teliti strategis negeri sempat harga kali lpdp sadar alam internasional talenta indonesia warga global global citizen wawas luas lulus harap kontribusi nyata indonesia also read lpdp buka beasiswa akselerasi magister sasar mahasiswa s prestasi program evaluasi kontribusi alumni sudarto lulus indonesia tambah negeri hilang wajib abdi n tetap sudarto abdi alumni terima beasiswa lpdp n kali studi beda n kali studi tambah also read daftar beasiswa lpdp australia awards buka mei beri beasiswa investasi jangka kembang sdm unggul nasional ukur dampak hadir lulus sempurna ukur dampak indikator kontribusi nyata alumni pungkas sudarto,neutral,1
929,publik gempar konten terima beasiswa lembaga kelola dana didik lpdp pamer anak status warga negara inggris tuai pro kontra konten tuai sorot sikap nasionalisme wajib abdi pilih kewarganegaraan sang anak situ polemik kembang luas transparansi akuntabilitas efektivitas awas tata kelola beasiswa lpdp sumber uang pajak rakyat tanggap polemik dosen manajemen bijak publik mkp universitas gadjah mada subarsono si a nilai kelola lpdp prinsip transparansi akuntabilitas masyarakat turut lembaga menteri uang tanggung kelola dana rakyat lpdp wajib taat regulasi tetap tentu abdi terima beasiswa  regulasi terima beasiswa abdi indonesia jangka atur tegak penuh wajib proses sesuai tentu laku  senin kampus ugm subarsono tega hukum laku krusial jaga tertib pasti hukum sorot bijak  tega hukum jaga tertib pasti hukum kemarin antisipasi jadi muncul  subarsono cuat ingat awas lpdp kuat terima selesai studi lulus indonesia luput sanksi lemah monitoring pascastudi  awas cermat kelulus cegah unggah media sosial  kait efektivitas sanksi subarsono pandang kembali dana beasiswa formal bentuk pertanggungjawaban pada ingat terima cermat paham regulasi selesai nonformal nilai selesai bas hukum pasti kuat sayang ekspresi personal media sosial picu agam interpretasi publik turut bebas ekspres serta bijaksana timbul kesalahpahaman  ajar ketidakbijakan media sosial dampak personal individu  konteks regulasi subarsono nilai kontrol terima beasiswa relatif longgar cenderung andal sadar moral depan dorong kuat aspek pasti konsekuensi hukum wajib penuh studi imbuh konfirmasi kait pasti pulang terima abdi indonesia  nampaknya lpdp sadar baik moralitas terima beasiswa landas hukum studi confirm pasti pulang terima indonesia abdi  imbuh turut fokus utama program lpdp terima darma bakti bangsa kendati baik tata kelola terima beasiswa kontribusi bangun nasional  adil terima dukung negara abdi negeri  subarsono harap subarsono tekan political will sadar terima biaya didik asal rakyat pajak biaya negara sadar harap muncul komitmen bangun indonesia  terima milik political will sadar biaya didik rakyat salur pajak pinjam negeri hati buka darma bakti negeri  harap kelola lpdp nilai momentum titik masuk baik tata kelola aspek awas pascastudi usul bentuk asosiasi alumni terima lpdp wadah kuat jejaring ingat tanggung kolektif terima beasiswa negara  buat asosiasi alumni terima lpdp relasi terima kuat  pungkas tulis editor gusti grehenson foto istockphoto,neutral,1
481,dunia gerak arah energi baru letus revolusi industri bahan bakar fosil tulang punggung sokong sukses modernitas abad minyak bumi batu gas sumber energi utama hidup temu canggih mesin tanda revolusi gawai pakai iring masif guna bahan bakar fosil serius ubah iklim dampak sehat akibat emisi isu ekonomi gantung transisi energi diskursus gema isi arah bijak global lomba cari temu energi lanjut indonesia tinggal tren tatap energi hijau ambisi perintah capai net zero emission dorong transformasi sektor energi industri strategis nikel komoditas kunci baterai kendara listrik negara cadang nikel besar dunia indonesia  raja nikel  data united survey catat juta ton cadang nikel kandung bumi nusantara angka cakup persen total cadang global kuasa bahan baku status raja baterai dunia pegang tiongkok maju kuasa teknologi rantai pasok industri baterai jembatan senjang indonesia cepat agenda hilir industri mineral kaya alam indonesia kawasan indonesia morowali industrial rumah usaha olah nikel proses barang infrastruktur investasi sumber daya manusia unggul paham teknologi olah material saing industri global lpdp main peran program beasiswa kerja indonesia  tiongkok lpdp  central south university  gem co ltd luncur studi program lahir angkat alumni kiprah langsung industri strategis temu pt qmb new energy anak usaha gem co ltd tiongkok peran olah nikel bahan bahan utama buat baterai kendara listrik besar alumni isi posisi posisi strategis industri olah mineral motor gerak alih teknologi tingkat daya saing bangsa program nyata isu sumber daya manusia unggul topang hilir prioritas bangun nasional iklim kerja tenaga kerja asing tka kawasan temu gambar bincang anak muda program beasiswa kerja indonesia  tiongkok ardi alam jabir sulawesi selatan stella cheny agnes jawa barat vinsensius ardi samperante papua episode baru podcast lesson lpdp sempat tiga bagi kisah jalan alam ajar tiongkok adaptasi budaya bahasa kontribusi nyata lapang  program lpdp  csu unik beasiswa penuh studi metalurgi negeri arah lulus langsung kontribusi industri strategis qmb  ardi alam jabir alumni batch jabat posisi manajerial departemen research and development r d qmb ardi divisi r d peran efisiensi proses produksi kembang riset olah limbah konsep zero waste industry stella cheny agnes alumnus batch tugas public relations assistant kerja qmb produksi bangun komunikasi lintas budaya lingkung kerja internasional  upaya jembatan informasi usaha kawasan industri masyarakat mitra kerja  jebol teknik metalurgi universitas jenderal achmad vinsensius ardi samperante mahasiswa batch tiga jalan program magang qmb bagi alam adaptasi bahasa giat mandarin camp riset metalurgi kuliah central south university temu kembang program magang jalan pt qmb  ajar orang serius ajar masuk dunia industri tuntut disiplin teliti  ajar central south university bantu tiga interaksi berjejaring lingkung internasional karier pt qmb isi tenaga kerja tiongkok tiga aku lingkung kesan alam ajar sendiri hari langsung disiplin efisiensi orientasi hasil terap konsisten lini kerja  disiplin jam kerja target hari standar mutu jalan konsisten milik mindset menit pabrik nila  ardi nada stella interaksi karyawan lintas negara peran bidang komunikasi usaha  fokus solusi alas kendala langsung cari jalan ritme kerja pacu produktif  vinsensius aku alam buka mata budaya kerja global  ajar kerja keras serta cepat akurasi jam efisien ukur coba tiru  lulus teknik tambang universitas papua lingkung multinasional jalan tugas sempat langsung industri maju tanam budaya kerja unggul adaptasi indonesia kawasan industri morowali saksi investasi baik negeri investasi manusia program lpdp  csu lihat dampak teknologi masuk kapasitas tingkat mimpi indonesia berdikari olah sumber daya alam saksi bincang lengkap episode baru podcast lesson saksi kanal youtube lpdp ri,positive,2
241,lembaga kelola dana didik lpdp buka beasiswa lpdp seleksi administrasi februari maret kali lpdp buka jalur beasiswa tentu beda beda perhati kampus kampus negeri buka program studi idn times rangkum daftar universitas negeri terima beasiswa lpdp s s dasar referensi untuk lanjut beasiswa stem lpdp idn times serta informasi,neutral,1
468,beasiswa lpdp lembaga kelola dana didik seringkali anggap tiket emas putra putri baik bangsa rengkuh ilmu berangkat universitas baik dunia pikul mandat aset bangsa didik sokong uang pajak rakyat muncul narasi gempar warganet dadak viral media sosial alumni beasiswa negara lpdp buka wni anak anak nyata tarik perhati publik picu debat panas beasiswa negara rendah negara nya ruang publik biaya perlu didik tanggung negara dasar muncul pantas intelektual pilih sekian nya anak prestasi sekolah keringat rakyat hina tanah air etis tindak rendah negara terima beasiswa bentuk gagal karakter fatal dana lpdp uang jatuh langit kaya pribadi jabat dana abadi didik kelola pajak rakyat indonesia pajak tani buruh dagang anak sekolah awardee fasilitas negara destruktif kritik perintah rendah kontrak sosial korban juta rakyat modal depan beda dasar kritik bangun rendah intelektual tuntut kritis kurang sistem negara rendah negara nada banding banding adil negara tempat ajar jatuh martabat bangsa hilang empati sosial alih alih solusi tuju beasiswa oknum sebar narasi keputusasaan cedera semangat kolektif bangun bangsa lihat edu lengkap,negative,0
612,baca stella christie kritik lpdp timbang latar ekonomi terima beasiswa google news ren jakarta dewan awas forum beasiswa indonesia chairman indonesia scholarship center foundation din n hidayat nilai sedia beasiswa skema jalan beasiswa diskusi tajam kait beasiswa dasar rit prestasi calon terima afirmasi latar ekonomi calon terima pisah paham beasiswa akses din diskusi scholarship forum jumat februari ideal prestasi latar calon terima salur beasiswa sempat adil akses sempat adil adab din mesti jalan iring samping pandang rit based afirmasi buka akses luas temu sedia beasiswa maksimal cari titik temu maksimal potensi din,positive,2
318,klikanggaran  lembaga kelola dana didik lpdp jatuh sanksi delapan terima beasiswa nyata penuh wajib abdi indonesia selesai studi putus ambil telusur ratus alumni duga masalah direktur utama lpdp sudarto sebut periksa awardee indikasi  dasar telusur awardee izin lanjut magang studi lanjut orang sesuai tentu lpdp  sudarto tulis kamis orang tahap periksa lanjut nama viral media sosial baca mahasiswi uin suska riau bacok tunggu sempro polisi laku rencana motif duga asmara  proses periksa orang viral momentum simpul akurasi sistem kriteria kontribusi  wajib kembali dana miliar hasil investigasi delapan orang bukti jalan wajib komitmen lpdp terap jenis sanksi kembali dana didik blokir akses program lpdp nilai kembali dana golong lulus doktor s wajib kembali capai miliar orang jenjang magister s miliar baca line pertamina desa talang akar bocor pertamina gerak cepat proses ganti siap total alumni lpdp capai puluh ribu alumni terima beasiswa lpdp catat orang angka awardee lanjut magang studi izin resmi orang sesuai tentu program sudarto tekan publik pandang hitam putih program lpdp turut milik cakup luas cakup beasiswa gelar,negative,0
1004,direktur eksekutif center for education regulations and development analysis cerdas indra charismiadji komentar unggah wanita ds wni anak ramai turut awardee beasiswa lpdp utang negara indra sebut beasiswa lpdp kes bagi bagi ikat muncul ds milik tanggung negara muncul lpdp jiwa milik tanggung negara utang negara indra lansir minggu scroll to continue with content proses seleksi ketat pilih bangun indonesia juang indonesia sebut fenomena terima lpdp indonesia ds indra terima beasiswa pilih negeri kerja indonesia kuliah amerika serikat anak indonesia beasiswa negara pilih jual gado gado amerika bulan usd indra indra saran baik sistem beasiswa perintah ikat terima beasiswa kerja jalan banding model beasiswa negeri lepas arti karier pikir lpdp ambil jurus bisnis tanda tangan kontrak peluang negeri pilih tinggal negeri indra sebut sistem praktik negara contoh sistem beasiswa malaysia korea mekanisme sulit negara terap model teman kuliah orang malaysia korea model ilmu butuh milik ijazah nyata lpdp terima beasiswa lembaga kelola dana didik lpdp inisial ds tuai polemik wni anak tinggal inggris memposting anak terima paspor perintah inggris lpdp sayang polemik wanita inisial ds nilai cermin nilai integritas lpdp sayang polemik media sosial picu tindak salah alumni saudari ds tindak cermin nilai integritas etika profesionalisme tanam lpdp terima beasiswa tulis suami awardee lpdp duga selesai kontribusi tetap inggris sesuai tentu awardee alumni lpdp milik wajib laksana abdi kontribusi indonesia kali studi saudari ds tempuh studi wajib kontribusi lpdp ds kait selesai studi agustus saudari ds selesai studi s nyata lulus agustus tuntas abdi sesuai tentu lpdp milik ikat hukum sangkut lpdp upaya komunikasi saudari ds imbau sangkut bijak media sosial perhati sensitivitas publik paham terima beasiswa lpdp wajib bangsa abdi negeri lihat video heboh lpdp wni anak ujung maaf saksi blak blakan menkomdigi bicara langkah indonesia board of peace,negative,0
1010,lembaga kelola dana didik lpdp sesal nyata alumni inisial ds wni anak buntut nyata lpdp panggil suami ds inisial ap terima beasiswa lpdp dalam internal kait duga lpdp panggil saudara ap klarifikasi proses tindak kena sanksi kembali dana beasiswa bukti wajib kontribusi indonesia penuh bunyi terang lpdp akun ig nya sabtu scroll to continue with content ap suami ds status terima beasiswa ap duga selesai wajib kontribusi tamat studi lpdp komitmen tegak atur adil konsisten tanggung awardee alumni jaga integritas institusi manfaat besar indonesia tentu lpdp awardee alumni lpdp milik wajib laksana abdi kontribusi indonesia kali studi khusus ds wni anak status selesai studi s nyata lulus agustus ds tuntas abdi sesuai tentu lpdp milik ikat hukum sangkut,negative,0
304,beasiswa garis bencana hujan deras guyur aceh november bawa banjir madam listrik putus jaring komunikasi lumpuh akses ekonomi wilayah mesin fungsi sinyal internet hilang ribu warga paksa tahan ungsi ketidakpastian situasi lumpuh aktivitas gerak cepat solidaritas koordinasi bantu alir daerah dampak sosok ajmir akmal awardee beasiswa lembaga kelola dana didik lpdp aceh utara alumni magister hortikultura institut tani bogor ipb pilih tonton bencana turun langsung gerak jejaring alumni lpdp gabung komunitas mata garuda aceh bantu manusia tangan sintas  situ ilmu jejaring milik  ajmir bincang redaksi majalah media uang keluarga sederhana didik ruang ruang ubah ajmir lahir tumbuh keluarga sederhana aceh utara orang tua buruh hasil tentu sekolah milik didik mimpi bagi muda ajmir tanam yakin didik jalan masuk akal ubah nasib keluarga  sekolah milik pilih  bincang redaksi majalah media uang tekad bawa ikut seleksi beasiswa lpdp tempuh jalan darat sembilan jam medan bekal ada jamin kelulus coba gagal ajmir henti coba kali nyata lolos turut beasiswa lpdp buka jalan tutup bagi ipb ajmir hasil selesai studi cari rekan jejaring banyak program siap berangkat pk berjejaring serap nilai nilai abdi kelak bentuk pandang sadar milik jejaring luas istimewa pulang daerah abdi masyarakat alih alih kejar karier kota ajmir pilih pulang aceh dosen universitas al muslim aktif damping tani kelompok masyarakat desa libat kembang alami warga upaya tingkat tahan tani lokal bagi putus pulang konsekuensi moral terima beasiswa negara bentuk komitmen personal kontribusi langsung daerah  ilmu tinggi turun masyarakat  jejaring alumni lpdp luas ruang gerak mata garuda aceh ajmir libat aktif sosialisasi beasiswa giat didik kolaborasi lintas daerah fondasi bagi gerak cepat tangan bencana aceh november aceh gelap total banjir landa aceh november akibat bencana hari telah mata garuda aceh buka donasi ajmir percaya koordinator donasi masuk ratus ribu rupiah lapang butuh desak desa desa isolasi ungsi habis makan akses logistik lumpuh  kondisi uang  kenang ajmir pekan wilayah aceh hidup listrik jaring komunikasi pada informasi putus putus kabar keluarga terima ajmir bencana jejaring alumni lpdp kunci awardee lpdp sebar kabupaten kota aceh tembus lokasi dampak fasilitas bantu koordinasi distribusi medan banda aceh donasi masuk biar kumpul bantu langsung salur pekan bencana titik lokasi terima bantu koordinasi ajmir tim mata garuda aceh bantu air bersih lengkap sekolah kitab suci bersih sekolah sekolah lumpur tanggap darurat ajmir beri bantu korban bencana henti fase darurat pulih ekonomi didik perhati utama akademisi taruh perhati upaya sekolah sekolah fungsi anak anak lanjut proses ajar  sekolah pulih dampak anak anak hilang momentum ajar  sisi alumni lpdp latar medis turun langsung layan sehat lokasi ungsi obat obat hasil donasi distribusi layan periksa sehat buka damping warga dampak batas mata garuda aceh pilih fokus misi makna fokus bantu keluarga anak milik tinggal  butuh bantu pilih keluarga tolong  ajmir bagi tindak konkret seringkali milik dampak psikologis sintas  mental korban pukul hadir semangat  kontribusi awardee lpdp henti ajmir peran awardee lpdp henti fase tanggap darurat lanjut damping jangka nilai tanam proses seleksi lpdp calon awardee tulis rencana kontribusi bangsa  lpdp tulis kontribusi laku harap awardee laku tulis  ajmir alam lapang ajar abdi bentuk proyek kadang hadir damping konsistensi bentuk kontribusi butuh masyarakat koordinasi lintas unit kunci ajmir tekan koordinasi lintas unit menteri lembaga tangan bencana jalan fase pulih turut sektor dampak tani ekonomi butuh kolaborasi struktur  perintah bantu sedia alat berat tani modal khusus  pulih bencana sorot sinergi instansi teknis ajmir koordinasi lintas unit cepat pulih infrastruktur masyarakat dampak milik hidup lanjut beasiswa tumbuh karakter ajmir beasiswa lpdp akses didik ruang bentuk karakter nilai pimpin empati tanggung sosial tanam proses seleksi studi bentuk pandang makna abdi tulis rencana kontribusi seleksi wujud kerja kerja nyata lapang ruang kelas lokasi bencana damping tani koordinasi bantu manusia ajmir pilih hadir masyarakat aceh aceh perlahan bangkit lumpur gelap kisah ajmir akmal ingat investasi negara bidang didik henti ruang kuliah tumbuh energi sosial gerak ubah nyata putus pulang gerak hadir butuh ajmir makna beasiswa sejati prestasi akademik manfaat lanjut masyarakat,positive,2
