Word,POS Tag,Frekuensi
kasih,NOUN,15219
sangat,ADV,14846
mudah,ADJ,12641
terima,VERB,10472
jelas,ADJ,9630
cepat,ADJ,8849
ramah,ADJ,8548
kartu,NOUN,7460
tidak,PART,7454
layan,NOUN,6023
baik,ADJ,5704
cs,NOUN,5701
proses,NOUN,5056
bantu,VERB,4710
limit,NOUN,4160
terima,NOUN,4002
kredit,NOUN,3882
bagus,ADJ,2999
sekali,ADV,2333
ribet,ADJ,2322
bantu,NOUN,2252
banget,X,1976
call,PROPN,1926
mantap,ADJ,1886
daftar,NOUN,1792
detail,ADJ,1777
customer,NOUN,1752
data,NOUN,1726
paham,VERB,1537
informasi,NOUN,1532
nya,PRON,1490
nama,NOUN,1478
tuju,VERB,1427
aktivasi,NOUN,1419
lancar,ADJ,1267
sukses,ADJ,1186
service,NOUN,1162
acc,PROPN,1136
video,NOUN,1121
langsung,ADV,1040
cs,X,999
pakai,VERB,993
gampang,ADJ,968
manfaat,NOUN,941
card,PROPN,925
welcome,X,910
belum,PART,896
aman,ADJ,885
guna,ADP,862
aja,VERB,805
bayar,VERB,778
call,NOUN,739
kali,NOUN,728
respon,NOUN,715
sopan,ADJ,710
aktif,ADJ,697
verifikasi,NOUN,690
bintang,NOUN,649
lama,ADJ,648
langsung,ADJ,646
trimakasih,NOUN,641
isi,NOUN,637
simple,ADJ,625
call,X,618
acc,NOUN,612
keren,ADJ,607
coba,VERB,601
care,NOUN,597
admin,NOUN,574
apk,NOUN,550
depan,ADJ,545
biaya,NOUN,529
lah,PART,527
detail,NOUN,524
guna,NOUN,516
transaksi,NOUN,503
kendala,NOUN,494
cepet,X,481
jam,NOUN,475
sulit,ADJ,474
muas,ADJ,471
butuh,VERB,464
info,NOUN,461
pokok,NOUN,459
arah,NOUN,446
vc,NOUN,431
tipu,NOUN,430
operator,NOUN,427
belanja,NOUN,427
good,PROPN,423
lengkap,ADJ,421
sukses,NOUN,415
percaya,VERB,406
jangan,PART,404
lumayan,ADV,402
best,PROPN,395
masuk,VERB,391
bunga,NOUN,388
sampai,ADP,382
buka,VERB,379
orang,NOUN,373
the,PROPN,371
simpel,ADJ,369
terang,ADJ,363
costumer,NOUN,363
tunggu,VERB,353
care,PROPN,351
top,ADJ,350
sabar,ADJ,341
puas,ADJ,339
tolak,VERB,335
credit,PROPN,332
aktifasi,NOUN,329
hapus,VERB,322
rekomendasi,NOUN,320
tunggu,X,320
senang,ADJ,317
fitur,NOUN,308
customer,PROPN,298
bank,NOUN,293
pake,X,292
informatif,ADJ,292
tugas,NOUN,290
uang,NOUN,289
edukasi,NOUN,283
kirim,VERB,280
hati,NOUN,280
acc,ADJ,278
tolak,NOUN,275
gagal,VERB,273
rupiah,NOUN,272
bayar,NOUN,270
trima,NOUN,267
welcome,PROPN,267
salah,ADJ,262
kait,NOUN,254
tele,NOUN,252
ktp,NOUN,250
center,PROPN,249
akun,NOUN,247
benar,ADJ,244
apply,NOUN,239
singkat,ADJ,238
maju,VERB,237
tolong,NOUN,234
registrasi,NOUN,231
jasa,NOUN,229
nasabah,NOUN,223
approve,NOUN,218
fisik,NOUN,216
iklan,NOUN,215
you,PROPN,215
pake,VERB,215
hasil,NOUN,213
alam,NOUN,209
tinggal,ADV,208
tambah,VERB,207
menit,NOUN,207
syarat,NOUN,206
sehat,ADJ,206
wajah,NOUN,203
vc,PROPN,202
admin,PROPN,201
alhamdulil,NOUN,201
qris,NOUN,200
awan,NOUN,198
konfirmasi,NOUN,196
muncul,VERB,194
banget,VERB,193
online,ADJ,188
sesuai,ADP,188
naik,VERB,188
ambar,NOUN,188
indah,ADJ,187
erik,NOUN,185
kembang,NOUN,185
sya,PRON,184
jalan,NOUN,182
foto,NOUN,178
komunikatif,ADJ,178
bikin,VERB,178
video,PROPN,177
servis,NOUN,176
buruk,ADJ,176
sesuai,ADJ,173
hari,NOUN,172
hapus,NOUN,172
padat,ADJ,171
lupa,VERB,171
cicil,VERB,168
produk,NOUN,163
coba,ADV,162
vidio,NOUN,162
up,PROPN,159
job,PROPN,158
kirim,NOUN,158
praktis,ADJ,157
agen,NOUN,156
anam,NOUN,155
panggil,VERB,154
aneh,ADJ,154
pas,NOUN,154
depan,NOUN,153
tuju,NOUN,153
saldo,NOUN,153
nyaman,ADJ,152
selesai,VERB,151
juta,NOUN,151
tanggap,VERB,150
download,NOUN,149
tagih,VERB,149
tarik,VERB,149
jaga,VERB,149
welcome,NOUN,147
saran,NOUN,147
suruh,NOUN,146
ngajuin,VERB,146
enak,ADJ,146
sayang,ADJ,145
tingkat,NOUN,145
rinci,ADJ,145
suka,VERB,143
alhamdulil,VERB,143
aji,NOUN,143
masalah,NOUN,142
sistem,NOUN,142
anas,NOUN,141
banget,ADV,141
mubarok,NOUN,140
maxi,NOUN,140
hubung,VERB,140
usaha,NOUN,139
thank,PROPN,139
salah,VERB,138
ulang,NOUN,136
belit,VERB,136
hubung,NOUN,136
maaf,NOUN,135
bukan,PART,134
kakak,NOUN,133
ny,NOUN,133
jaya,NOUN,132
batu,NOUN,131
dana,NOUN,130
mohon,VERB,130
approval,NOUN,130
tagih,NOUN,129
approve,X,128
kerja,NOUN,127
malam,NOUN,126
mukhtar,NOUN,125
profesional,ADJ,122
amanah,NOUN,122
super,ADV,120
solusi,NOUN,119
pagi,NOUN,119
cpt,NOUN,119
pelayana,NOUN,119
burhan,NOUN,118
wa,PROPN,117
arif,ADJ,116
tolong,ADV,116
trims,NOUN,115
specialist,X,115
murah,ADJ,115
poko,NOUN,114
pinjol,NOUN,113
pinjam,NOUN,113
mantab,ADJ,113
tgl,NOUN,113
mohon,NOUN,112
suruh,VERB,112
putri,NOUN,112
milik,NOUN,112
dodi,NOUN,112
via,PROPN,111
responsif,ADJ,111
acc,X,111
perak,NOUN,110
kena,VERB,109
bijak,ADJ,109
bilang,VERB,109
